target,search_time,first_solution_time,first_solution_iteration,number_of_nodes,max_transforms,max_children,number_of_routes,number_of_solved_routes,top_score,is_solved,number_of_steps,number_of_precursors,number_of_precursors_in_stock,precursors_in_stock,precursors_not_in_stock,precursors_availability,policy_used_counts,profiling
CC(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)C(CCC4[C@@]5(C)CCC(/N=C/c6ccc(F)cc6F)C(C)(C)C5CC[C@]43C)C12,15.969523429870605,0,0,83,4,11,53,0,0.5190398538988941,False,2,2,1,CC(C)(C)O,C=C(C)[C@@H]1CC[C@]2(C=O)CC[C@]3(C)C(CCC4[C@@]5(C)CCC(/N=C/c6ccc(F)cc6F)C(C)(C)C5CC[C@]43C)C12,Not in stock;zinc,{'uspto': 82},"{'expansion_calls': 82, 'reactants_generations': 502, 'iterations': 100}"
CC[C@H](C)[C@H](NC(=O)[C@H](CC1CCCCC1)NC(=O)CN)C(=O)N1CCC2(C=Cc3ccccc32)CC1,36.22627782821655,0,0,101,4,18,71,0,0.6773731872322274,False,2,3,2,"CC[C@H](C)[C@H](NC(=O)OC(C)(C)C)C(=O)O, C1=CC2(CCNCC2)c2ccccc21",NCC(=O)N[C@@H](CC1CCCCC1)C(=O)O,Not in stock;zinc;zinc,{'uspto': 100},"{'expansion_calls': 100, 'reactants_generations': 103, 'iterations': 100}"
CN[C@@H](C)C(=O)N[C@H](C(=O)N1C[C@H]2CCCN2C[C@H]1C(=O)N[C@@H]1CCOc2ccccc21)C1CCOCC1.Cl.Cl,41.57503843307495,0,0,104,4,11,66,0,0.7490529289315001,False,3,4,3,"C[C@@H](C(=O)O)N(C)C(=O)OC(C)(C)C, CC(C)(C)OC(=O)OC(=O)OC(C)(C)C, N[C@H](C(=O)O)C1CCOCC1",O=C(N[C@@H]1CCOc2ccccc21)[C@@H]1CN2CCC[C@@H]2CN1,zinc;Not in stock;zinc;zinc,{'uspto': 103},"{'expansion_calls': 100, 'reactants_generations': 188, 'iterations': 100}"
COC(=O)/C(C)=C/c1ccc(Oc2ccccc2N/C(=N/c2cccc(Cl)c2)NCCCCNc2ccnc3cc(Cl)ccc23)cc1,37.35367012023926,0,0,101,4,19,64,0,0.7490529289315001,False,3,4,3,"Nc1ccnc2cc(Cl)ccc12, C=C(C)C(=O)OC, Oc1ccc(Br)cc1",OB(O)c1ccccc1N/C(=N/c1cccc(Cl)c1)NCCCCBr,zinc;zinc;Not in stock;zinc,{'uspto': 100},"{'expansion_calls': 97, 'reactants_generations': 384, 'iterations': 100}"
Nc1nc(N)c(CCN(Cc2ccc(NC(CCC(=O)O)C(=O)O)cc2)c2cc(F)cc(F)c2[N+](=O)[O-])c(O)n1,27.97329354286194,0,0,115,3,15,99,0,0.5190398538988941,False,2,2,1,N=C(N)N,COC(=O)C(CCC(=O)O)Nc1ccc(CN(CCC(C(N)=O)C(=O)OC)c2cc(F)cc(F)c2[N+](=O)[O-])cc1,Not in stock;zinc,{'uspto': 114},"{'expansion_calls': 100, 'reactants_generations': 196, 'iterations': 100}"
C#CC[N+](C)(C)C1CC(C)OC(O[C@@H]2C(C)C(OC3CC(C)(OC)C(O)C(C)O3)C(C)C(=O)OC(CC)[C@@](C)(O)[C@H](O)[C@@H](C)C3O[C@@]2(C)C[C@H]3C)C1O,83.42063593864441,0,0,134,2,31,102,0,0.049100689501895424,False,0,1,0,,C#CC[N+](C)(C)C1CC(C)OC(O[C@@H]2C(C)C(OC3CC(C)(OC)C(O)C(C)O3)C(C)C(=O)OC(CC)[C@@](C)(O)[C@H](O)[C@@H](C)C3O[C@@]2(C)C[C@H]3C)C1O,Not in stock,{'uspto': 133},"{'expansion_calls': 100, 'reactants_generations': 103, 'iterations': 100}"
Cc1cccc(C)c1Nc1nnc(SCC(=O)Nc2cc(S(=O)(=O)N3CCCCC3)ccc2Cl)s1,23.11063575744629,0,0,101,4,18,70,0,0.785,False,4,5,4,"C1CCNCC1, O=S(Cl)Cl, Nc1cc(S(=O)(=O)O)ccc1Cl, O=S(Cl)Cl",Cc1cccc(C)c1Nc1nnc(SCC(=O)O)s1,zinc;zinc;zinc;Not in stock;zinc,{'uspto': 100},"{'expansion_calls': 100, 'reactants_generations': 240, 'iterations': 100}"
NCCNC(=O)[C@H]1O[C@H](OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,77.52993321418762,0,0,109,3,15,92,0,0.5190398538988941,False,2,2,1,CC(C)(C)OC(=O)NCCN,O=C(O)[C@H]1O[C@H](OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,Not in stock;zinc,{'uspto': 108},"{'expansion_calls': 100, 'reactants_generations': 164, 'iterations': 100}"
COc1cncc(-c2c(N)ncnc2N2CCC(c3nc(-c4ccc(F)c(C(F)(F)F)c4)cn3C)CC2)c1,51.47772836685181,0,0,102,2,16,85,0,0.6773731872322274,False,2,3,2,"COc1cncc(B(O)O)c1, Nc1ncnc(Cl)c1-c1ccc(F)cc1",Cn1cc(-c2ccc(F)c(C(F)(F)F)c2)nc1C1CCNCC1,zinc;Not in stock;zinc,{'uspto': 101},"{'expansion_calls': 100, 'reactants_generations': 143, 'iterations': 100}"
CC(C)Oc1ccc(-c2nc(-c3cccc4c3CC[C@H]4NS(=O)(=O)CCN3CCC(O)CC3)no2)cc1C#N,35.10540318489075,0,0,104,3,16,79,0,0.7490529289315001,False,3,4,3,"OC1CCNCC1, CC(C)O, N#Cc1cc(C(=O)O)ccc1F",NC(=NO)c1cccc2c1CC[C@H]2NS(=O)(=O)CCCl,zinc;zinc;Not in stock;zinc,{'uspto': 103},"{'expansion_calls': 100, 'reactants_generations': 184, 'iterations': 100}"
CC(=O)c1ccc(Cl)c(-c2ccc(-c3nc(-c4ccc(Cl)c(Cl)c4)cs3)cc2C(=O)O)c1,34.47984170913696,25.318819046020508,75,102,3,12,88,2,0.9865529289315002,True,3,4,4,"CC(=O)c1ccc(Cl)c(B(O)O)c1, O=C(CCl)c1ccc(Cl)c(Cl)c1, CC(N)=S, COC(=O)c1cc(C#N)ccc1Br",,zinc;zinc;zinc;zinc,{'uspto': 101},"{'expansion_calls': 98, 'reactants_generations': 203, 'iterations': 100}"
COC(=O)Nc1ccc(-c2cc([C@H](CC(=O)N3CC[C@@H](O)C3)NC(=O)/C=C/c3cc(Cl)ccc3-n3cnnn3)nnc2Cl)cc1,46.81472420692444,0,0,109,2,15,93,0,0.6773731872322274,False,2,3,2,"CC(C)(C)OC(=O)N1CC[C@@H](O)C1, COC(=O)Cl",Nc1ccc(-c2cc([C@H](CC(=O)O)NC(=O)/C=C/c3cc(Cl)ccc3-n3cnnn3)nnc2Cl)cc1,zinc;zinc;Not in stock,{'uspto': 108},"{'expansion_calls': 100, 'reactants_generations': 154, 'iterations': 100}"
COC[C@H]1O[C@@H](OCc2ccc(Cl)cc2)[C@H](NC(=O)CCCN=C(N)N)[C@@H](OCc2ccc3ccccc3c2)[C@@H]1O,47.309653997421265,0,0,104,3,13,84,0,0.6773731872322274,False,2,3,2,"NC(N)=NCCCC(=O)O, Clc1ccc(CBr)cc1",COC[C@H]1O[C@@H](O)[C@H](N)[C@@H](OCc2ccc3ccccc3c2)[C@@H]1O,zinc;zinc;Not in stock,{'uspto': 103},"{'expansion_calls': 100, 'reactants_generations': 159, 'iterations': 100}"
Cc1nc(C(=O)OCCOCCOc2no[n+]([O-])c2S(=O)(=O)c2ccccc2)cc2c1[nH]c1ccccc12,31.321705102920532,0,0,105,3,20,77,0,0.7490529289315001,False,3,4,3,"Cc1nc(C(=O)O)cc2c1[nH]c1ccccc12, OCCOCCO, c1ccccc1",O=S(=O)(O)c1c(Cl)no[n+]1[O-],zinc;zinc;Not in stock;zinc,{'uspto': 104},"{'expansion_calls': 100, 'reactants_generations': 187, 'iterations': 100}"
CS(=O)(=O)CCOC(=O)N1C(=O)N(c2cccc(C(F)(F)F)c2)C2=C(C(=O)CC2)C1c1ccc(C#N)cc1,27.743579626083374,6.5935187339782715,26,100,4,13,72,3,0.994039853898894,True,2,4,4,"CS(=O)(=O)CCOC(=O)Cl, O=C1CCC(=O)C1, N#Cc1ccc(C=O)cc1, NC(=O)Nc1cccc(C(F)(F)F)c1",,zinc;zinc;zinc;zinc,{'uspto': 99},"{'expansion_calls': 97, 'reactants_generations': 325, 'iterations': 100}"
CC(=O)OC[C@H]1O[C@@H]([Se]c2ccc([N+](=O)[O-])cn2)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]1OC(C)=O,36.6136109828949,0,0,104,2,12,94,0,0.6773731872322274,False,2,3,2,"CC(=O)OC(C)=O, CC(=O)OC(C)=O",CC(=O)OC[C@H]1O[C@@H]([Se]c2ccc([N+](=O)[O-])cn2)[C@H](O)[C@@H](O)[C@@H]1OC(C)=O,zinc;zinc;Not in stock,{'uspto': 103},"{'expansion_calls': 100, 'reactants_generations': 119, 'iterations': 100}"
COc1ccc2c3c1O[C@H]1[C@@]4(OC)CC[C@@]5(C[C@@H]4C(NC(C)C(N)=O)c4ccccc4)[C@@H](C2)N(CC2CC2)CC[C@]315,27.834848880767822,0,0,100,3,9,59,0,0.5190398538988941,False,2,2,1,BrCc1ccccc1,CO[C@]12CC[C@@]3(C[C@@H]1C(NC(C)C(N)=O)c1ccccc1)[C@H]1Cc4ccc(O)c5c4[C@@]3(CCN1CC1CC1)[C@H]2O5,zinc;Not in stock,{'uspto': 99},"{'expansion_calls': 100, 'reactants_generations': 361, 'iterations': 100}"
Cc1cc(C(=O)NCC(C)C)cc(NC(=O)[C@H]2CCC(=O)N2C2CCN(Cc3ccc(Cl)c(C)c3)CC2)n1,31.67941403388977,0,0,102,3,17,75,0,0.756539853898894,False,2,4,3,"CC(C)CN, Cc1cc(CN2CCC(N)CC2)ccc1Cl, O=CCCC(=O)O",[C-]#[N+]c1cc(C(=O)O)cc(C)n1,zinc;Not in stock;zinc;zinc,{'uspto': 101},"{'expansion_calls': 100, 'reactants_generations': 220, 'iterations': 100}"
Cc1cccc(NC(=O)OCC#Cc2cn([C@H](C)C[C@@H]3CC[C@H]([C@@H](C)C(=O)N4CCN(CC5CCCO5)CC4)O3)nn2)c1,43.43927574157715,0,0,119,2,16,102,0,0.6773731872322274,False,2,3,2,"Cc1cccc(N=C=O)c1, C#CCO",C[C@H](C[C@@H]1CC[C@H]([C@@H](C)C(=O)N2CCN(CC3CCCO3)CC2)O1)n1cc(Br)nn1,zinc;zinc;Not in stock,{'uspto': 118},"{'expansion_calls': 100, 'reactants_generations': 154, 'iterations': 100}"
COCCOCCOCCOc1cc2c(cc1OC)CCN(CCc1ccc(NC(=O)c3ccc(C(=O)OC)c(NC(=O)c4ccc5ccccc5n4)c3)cc1)C2,56.48207998275757,0,0,101,2,16,84,0,0.6773731872322274,False,2,3,2,"COC(=O)c1ccc(C(=O)OC)c(N)c1, O=C(Cl)c1ccc2ccccc2n1",COCCOCCOCCOc1cc2c(cc1OC)CCN(CCc1ccc(N)cc1)C2,Not in stock;zinc;zinc,{'uspto': 100},"{'expansion_calls': 100, 'reactants_generations': 128, 'iterations': 100}"
Cc1ccc(NC(=O)C[C@H](CCC(=O)O)c2noc(-c3cc(CC(C)C)on3)c2C2CC2)c(Cl)c1,21.147129774093628,0,0,100,4,11,67,0,0.6698862622648335,False,3,3,2,"Cc1ccc(N)c(Cl)c1, O=S(Cl)Cl",CC(C)Cc1cc(-c2onc([C@@H](CCC(=O)OC(C)(C)C)CC(=O)O)c2C2CC2)no1,zinc;Not in stock;zinc,{'uspto': 99},"{'expansion_calls': 100, 'reactants_generations': 375, 'iterations': 100}"
O=S(=O)(c1nnc(N(Cc2ccccc2)S(=O)(=O)c2ccccc2)s1)N(Cc1ccccc1)Cc1ccccc1,25.581201791763306,0,0,118,3,24,83,0,0.7490529289315001,False,3,4,3,"c1ccc(CNCc2ccccc2)cc1, O=S(Cl)Cl, O=S(=O)(O)c1ccccc1",O=S(=O)(Cl)c1nnc(NCc2ccccc2)s1,zinc;Not in stock;zinc;zinc,{'uspto': 117},"{'expansion_calls': 100, 'reactants_generations': 254, 'iterations': 100}"
CC(C)[C@H](NC(=O)[C@H](Cc1ccccc1)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(N)=O,32.92824983596802,0,0,101,3,15,83,0,0.7490529289315001,False,3,4,3,"CC(C)[C@H](N)C(N)=O, BrCc1ccccc1, CC(C)(C)OC(=O)OC(=O)OC(C)(C)C",N[C@@H](Cc1ccccc1)[C@@H]1CCC(=O)O1,zinc;zinc;zinc;Not in stock,{'uspto': 100},"{'expansion_calls': 100, 'reactants_generations': 170, 'iterations': 100}"
COc1cc(-c2nn(-c3ccc(Cl)cc3)c3nnc(-c4ccc(Cl)cc4)nc23)cc(OC)c1OC,31.066978693008423,0,0,112,2,19,101,0,0.6773731872322274,False,2,3,2,"COc1cc(B(O)O)cc(OC)c1OC, Clc1ccc(Br)cc1",Clc1ccc(-c2nnc3[nH]nc(Cl)c3n2)cc1,zinc;Not in stock;zinc,{'uspto': 111},"{'expansion_calls': 100, 'reactants_generations': 176, 'iterations': 100}"
CC(=N)NCCC[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)[C@@H](O)CC(=O)NCCc1ccccc1)C(C)C,42.06509232521057,0,0,101,2,15,93,0,0.6773731872322274,False,2,3,2,"O=C(Cl)OCc1ccccc1, CC(=N)NCCC[C@H](N)C(=O)O",CC(C)C[C@H](NC(=O)[C@@H](N)C(C)C)[C@@H](O)CC(=O)NCCc1ccccc1,Not in stock;zinc;zinc,{'uspto': 100},"{'expansion_calls': 100, 'reactants_generations': 111, 'iterations': 100}"
C[C@H](O)CNc1nccc(-n2ccnc2C(=O)c2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)n1,31.265769481658936,0,0,101,4,10,84,0,0.785,False,4,5,4,"C[C@H](O)CN, O=C=Nc1ccc(Cl)c(C(F)(F)F)c1, O=C(OO)c1cccc(Cl)c1, CSc1nccc(Cl)n1",Nc1ccc(C(=O)c2ncc[nH]2)cc1,zinc;zinc;zinc;zinc;Not in stock,{'uspto': 100},"{'expansion_calls': 100, 'reactants_generations': 174, 'iterations': 100}"
COc1ccccc1/C=C/CN(C(=O)CCCc1c[nH]c2ccccc12)C1CCC(CC2CCC(N)CC2)CC1,35.18489146232605,0,0,100,3,14,66,0,0.6698862622648335,False,3,3,2,"O=C(O)CCCc1c[nH]c2ccccc12, CC(C)(C)OC(=O)OC(=O)OC(C)(C)C",COc1ccccc1/C=C/CNC1CCC(CC2CCC(N)CC2)CC1,zinc;zinc;Not in stock,{'uspto': 99},"{'expansion_calls': 100, 'reactants_generations': 341, 'iterations': 100}"
COc1ncc(-c2ccc3nccc(C#CCN(C)C)c3c2)cc1NS(=O)(=O)c1ccc(F)cc1F,38.59051537513733,0,0,101,2,11,89,0,0.5226287063411217,False,1,2,1,C#CCN(C)C,COc1ncc(-c2ccc3nccc(Br)c3c2)cc1NS(=O)(=O)c1ccc(F)cc1F,Not in stock;zinc,{'uspto': 100},"{'expansion_calls': 100, 'reactants_generations': 125, 'iterations': 100}"
CC(CC(=O)CC(C)[C@H]1CC(=O)[C@@]2(C)C3=C(C(=O)C[C@]12C)[C@@]1(C)CCC(OS(=O)(=O)O)C(C)(C)[C@@H]1C[C@@H]3O)C(=O)O,61.58154535293579,0,0,111,2,23,87,0,0.049100689501895424,False,0,1,0,,CC(CC(=O)CC(C)[C@H]1CC(=O)[C@@]2(C)C3=C(C(=O)C[C@]12C)[C@@]1(C)CCC(OS(=O)(=O)O)C(C)(C)[C@@H]1C[C@@H]3O)C(=O)O,Not in stock,{'uspto': 110},"{'expansion_calls': 100, 'reactants_generations': 85, 'iterations': 100}"
CC(=O)NCCC(=O)N(C)c1ccc(Cl)c(COc2cccn3c(Br)c(C)nc23)c1Cl,37.04318356513977,0,0,100,2,10,89,0,0.6773731872322274,False,2,3,2,"CC(=O)OC(C)=O, O=C1CCC(=O)N1Br",Cc1cn2cccc(OCc3c(Cl)ccc(N(C)C(=O)CCN)c3Cl)c2n1,zinc;zinc;Not in stock,{'uspto': 99},"{'expansion_calls': 100, 'reactants_generations': 155, 'iterations': 100}"
Cc1ccc2c(c1)COC(=O)N2C1CCN(CC(=O)Nc2ccc3c(c2)C(=O)c2ccccc2-3)CC1.Cl,39.034767627716064,0,0,104,2,15,88,0,0.680962039674455,False,1,3,2,"O=C(Cl)CCl, Nc1ccc2c(c1)C(=O)c1ccccc1-2",Cc1ccc2c(c1)COC(=O)N2C1CCNCC1,zinc;Not in stock;zinc,{'uspto': 103},"{'expansion_calls': 100, 'reactants_generations': 144, 'iterations': 100}"
CCN(CC)[C@H](C(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)[C@H](O)C(=O)N1CSC(C)(C)[C@H]1C(=O)NCC(C)(C)C)C(C)(C)C)c1ccccc1,47.63963747024536,0,0,107,3,14,89,0,0.6773731872322274,False,2,3,2,"CCN(CC)[C@H](C(=O)O)c1ccccc1, CC(C)(C)[C@H](N)C(=O)O",CC(C)(C)CNC(=O)[C@H]1N(C(=O)[C@@H](O)[C@@H](N)Cc2ccccc2)CSC1(C)C,zinc;Not in stock;zinc,{'uspto': 106},"{'expansion_calls': 100, 'reactants_generations': 104, 'iterations': 100}"
COc1c(C)cnc(C[S+]([O-])c2nc3cc(N4CCCCC4)c(NC(=O)C(F)(F)F)cc3[nH]2)c1C,37.49027109146118,0,0,101,3,10,81,0,0.6773731872322274,False,2,3,2,"Cc1c(OCC(F)(F)F)ccnc1CO, Sc1nc2ccccc2[nH]1",COc1c(C)cnc(CSc2nc3cc(N4CCCCC4)c(NC(=O)C(F)(F)F)cc3[nH]2)c1C,Not in stock;zinc;zinc,{'uspto': 100},"{'expansion_calls': 100, 'reactants_generations': 261, 'iterations': 100}"
CCCCCN(C(=O)c1ccc(C(C)(C)C)cc1)C(CC)c1nc2ccccc2c(=O)n1-c1ccccc1OC,25.757754802703857,0,0,100,3,16,74,0,0.6773731872322274,False,2,3,2,"CC(C)(C)c1ccc(C(=O)Cl)cc1, CCCCC=O",CCC(N)c1nc2ccccc2c(=O)n1-c1ccccc1OC,zinc;zinc;Not in stock,{'uspto': 99},"{'expansion_calls': 100, 'reactants_generations': 187, 'iterations': 100}"
CCN(CC)CCOC(=O)c1ccc(N/C=C(/C#N)c2nc(-c3ccc(OC)c(OC)c3)cs2)cc1,45.37817192077637,0,0,100,3,13,83,0,0.6773731872322274,False,2,3,2,"O=C(Br)CBr, COc1ccccc1OC",CCN(CC)CCOC(=O)c1ccc(N/C=C(/C#N)C(N)=S)cc1,Not in stock;zinc;zinc,{'uspto': 99},"{'expansion_calls': 100, 'reactants_generations': 161, 'iterations': 100}"
COCCCN1C(=O)[C@]2(CC(=O)Nc3c2nnn3[C@@H](C)c2ccc(Cl)cc2)c2cc(Cl)ccc21,21.07097816467285,0,0,106,4,13,71,0,0.6773731872322274,False,2,3,2,"COS(=O)(=O)OC, OCCCBr",C[C@@H](c1ccc(Cl)cc1)n1nnc2c1NC(=O)C[C@]21C(=O)Nc2ccc(Cl)cc21,zinc;Not in stock;zinc,{'uspto': 105},"{'expansion_calls': 99, 'reactants_generations': 471, 'iterations': 100}"
O=C(NC1COC1)c1cc(NC(=O)c2cc(-c3ncccc3F)c(Cl)cc2Cl)n(-c2ccccc2)n1,34.467902183532715,30.57383370399475,89,100,3,14,69,1,0.9865529289315002,True,3,4,4,"NC1COC1, Fc1cccnc1Cl, O=C(O)c1cc(B(O)O)c(Cl)cc1Cl, CCOC(=O)c1cc(N)n(-c2ccccc2)n1",,zinc;zinc;zinc;zinc,{'uspto': 99},"{'expansion_calls': 99, 'reactants_generations': 207, 'iterations': 100}"
CN(CCO)C(=O)c1ccc([C@H](c2cccc(NC(=O)C3CC3)c2)N2CCN(Cc3ccc(F)cc3)CC2)cc1,30.475727319717407,0,0,102,3,12,78,0,0.6773731872322274,False,2,3,2,"CNCCO, O=C(Cl)C1CC1",Nc1cccc([C@@H](c2ccc(C(=O)O)cc2)N2CCN(Cc3ccc(F)cc3)CC2)c1,zinc;zinc;Not in stock,{'uspto': 101},"{'expansion_calls': 100, 'reactants_generations': 239, 'iterations': 100}"
Cl.Cl.N=C(Nc1ccc(-c2cccc(-c3cccc(NC(=N)c4ccccn4)c3)c2)cc1)c1ccccn1,47.35017943382263,0,0,115,2,28,86,0,0.6773731872322274,False,2,3,2,"N#Cc1ccccn1, Nc1ccc(Br)cc1",N=C(Nc1cccc(-c2cccc(B(O)O)c2)c1)c1ccccn1,zinc;zinc;Not in stock,{'uspto': 114},"{'expansion_calls': 100, 'reactants_generations': 97, 'iterations': 100}"
COc1ccc(NS(=O)(=O)c2ccc(N3CCCC3)c(NC(S)=Nc3ccc(SC(F)F)cc3)c2)cc1,25.29951763153076,0,0,101,3,11,75,0,0.7490529289315001,False,3,4,3,"C1CCNC1, COc1ccc(N)cc1, O=S(Cl)Cl",O=S(=O)(O)c1ccc(F)c(NC(S)=Nc2ccc(SC(F)F)cc2)c1,zinc;zinc;zinc;Not in stock,{'uspto': 100},"{'expansion_calls': 100, 'reactants_generations': 215, 'iterations': 100}"
O=C(NCc1cc(C(F)(F)F)cc(C(F)(F)F)c1)C(CCN1CCC(c2ccccc2)CC1)C1CC1,51.07198691368103,0,0,106,3,19,83,0,0.6773731872322274,False,2,3,2,"NCc1cc(C(F)(F)F)cc(C(F)(F)F)c1, c1ccc(C2CCNCC2)cc1",O=C(O)C(CCBr)C1CC1,zinc;zinc;Not in stock,{'uspto': 105},"{'expansion_calls': 100, 'reactants_generations': 93, 'iterations': 100}"
COc1cccc(-n2nc(C(=O)Nc3ccc(OC)c(OC)c3)nc2-c2cc(OC)c(OC)c(OC)c2)c1,53.860323429107666,0,0,114,3,12,101,0,0.6773731872322274,False,2,3,2,"COc1ccc(N)cc1OC, COc1cccc(B(O)O)c1",COc1cc(-c2nc(C(=O)O)n[nH]2)cc(OC)c1OC,zinc;zinc;Not in stock,{'uspto': 113},"{'expansion_calls': 100, 'reactants_generations': 125, 'iterations': 100}"
Cc1ccn2c(NC(C)(C)CC(C)(C)C)c(-c3ccccc3OC(=O)C(c3ccccc3)c3ccccc3)nc2c1,25.66157555580139,5.147829055786133,10,101,3,26,72,14,0.994039853898894,True,2,4,4,"[C-]#[N+]C(C)(C)CC(C)(C)C, Cc1ccnc(N)c1, O=C(O)C(c1ccccc1)c1ccccc1, O=Cc1ccccc1O",,zinc;zinc;zinc;zinc,{'uspto': 100},"{'expansion_calls': 86, 'reactants_generations': 163, 'iterations': 100}"
CC(C)C[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)CCc1ccc(O)cc1)C(C)C)C(C)C)C(=O)O,71.33889436721802,0,0,135,2,35,99,0,0.6773731872322274,False,2,3,2,"CC(C)C[C@H](N)C(=O)O, N[C@@H](CC(=O)O)C(=O)O",CC(C)[C@H](NC(=O)CCc1ccc(O)cc1)C(=O)N[C@H](C(=O)N[C@@H](CC(N)=O)C(=O)O)C(C)C,zinc;Not in stock;zinc,{'uspto': 134},"{'expansion_calls': 100, 'reactants_generations': 62, 'iterations': 100}"
CC(C)C[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)C1CCCc2ccccc21)B1O[C@@H]2C[C@@H]3C[C@@H](C3(C)C)[C@]2(C)O1,37.12343144416809,0,0,112,3,14,100,0,0.36070652056556074,False,2,3,1,CC(=O)O,"CC(C)C[C@H](NC(=O)[C@@H](N)Cc1c[nH]c2ccccc12)B1O[C@@H]2C[C@@H]3C[C@@H](C3(C)C)[C@]2(C)O1, N#CC1CCCc2ccccc21",Not in stock;Not in stock;zinc,{'uspto': 111},"{'expansion_calls': 100, 'reactants_generations': 182, 'iterations': 100}"
